Movie Name,Release Period,Genre,New Music Director,Number of Screens,Revenue(INR),Budget(INR),Timing(min),Rating(10),Votes,Language,Profit(INR),ROI
tumhari sulu,normal,drama,yes,1200,200000000,513900000,150.0,7.0,4693.0,hindi,-313900000,0.3891807744697412
tere naal love ho gaya,normal,romance,no,1200,140000000,306262500,130.0,5.8,4078.0,hindi,-166262500,0.4571241990122852
time pass,normal,comedy,no,45,12500000,5300000,143.0,7.5,1243.0,marathi,7200000,2.358490566037736
vaah! life ho toh aisi!,holiday,comedy,no,325,130000000,91723750,153.0,4.5,2239.0,hindi,38276250,1.4172992272993636
zubaan,holiday,drama,yes,350,80000000,5200000,115.0,6.1,395.0,punjabi,74800000,15.384615384615383
mumbai can dance saalaa,holiday,thriller,yes,600,35000000,3100000,135.0,2.2,20.0,hindi,31900000,11.290322580645162
kisaan,normal,drama,no,525,150000000,27600000,100.0,5.4,283.0,hindi,122400000,5.434782608695652
blackmail,normal,thriller,no,325,95000000,65872500,145.0,6.7,194.0,hindi,29127500,1.4421799688792745
warning,normal,thriller,no,450,100000000,34500000,109.0,4.7,232.0,hindi,65500000,2.898550724637681
pyaar ke side effects,normal,comedy,no,225,65000000,121890000,132.0,6.7,3008.0,hindi,-56890000,0.5332677003855936
aazaan,normal,action,no,675,330000000,26300000,125.0,4.3,346.0,hindi,303700000,12.547528517110266
hulla,normal,comedy,no,100,15000000,1550000,107.0,6.4,231.0,gujarati,13450000,9.67741935483871
kya dilli kya lahore,normal,drama,no,400,55000000,8900000,98.0,7.4,1833.0,hindi,46100000,6.179775280898877
aur pappu pass ho gaya,normal,comedy,yes,15,10000000,525000,142.0,4.3,34.0,hindi,9475000,19.047619047619047
sarkar,normal,drama,no,425,140000000,393047500,163.0,6.8,13929.0,tamil,-253047500,0.3561910456115355
desi boyz,normal,drama,no,2100,540000000,804360000,122.0,5.7,13066.0,gujarati,-264360000,0.6713411905117112
badrinath ki dulhania,holiday,romance,yes,2800,440000000,1948152500,139.0,6.1,10616.0,hindi,-1508152500,0.2258550087839632
calendar girls,holiday,drama,yes,850,130000000,81900000,131.0,4.2,849.0,hindi,48100000,1.5873015873015872
fashion,holiday,drama,no,750,200000000,392945000,148.0,8.0,9.0,hindi,-192945000,0.5089770833068241
ek vivaah... aisa bhi,normal,romance,no,100,35000000,24887500,132.0,5.2,438.0,hindi,10112500,1.4063284781516825
teen patti,holiday,thriller,no,575,180000000,76300000,140.0,4.1,1447.0,punjabi,103700000,2.3591087811271296
what the fish,normal,comedy,yes,350,45000000,9800000,98.0,5.0,188.0,hindi,35200000,4.591836734693878
shiva,normal,action,no,225,60000000,34300000,161.0,8.1,3322.0,telugu,25700000,1.749271137026239
chance pe dance,normal,romance,no,800,290000000,163027500,122.0,4.7,2774.0,urdu,126972500,1.7788409930839888
